num_fu_intALU,num_fu_read,num_fu_write,l1d_size,l1d_assoc,cost,EDP
2,2,1,64,4,0.140712,4.83515959572
2,3,1,64,4,0.140709,4.834270794128
4,5,8,256,4,0.140315,4.8715271030139995
1,2,1,64,4,0.141724,4.813842196392
4,7,1,256,16,0.140393,5.233384657828
3,2,1,64,4,0.14055,4.830917492716
2,2,1,64,8,0.140723,4.960653462734999
2,2,1,64,2,0.140866,5.233655894179001
5,3,5,128,2,0.140443,4.831521546498
2,2,2,64,4,0.140658,4.833397085552
2,2,1,128,4,0.140625,4.877438722341999
2,1,1,64,4,0.140811,4.84483538552
5,5,3,256,2,0.140319,4.873483804431
2,3,2,64,4,0.140655,4.8324628479
2,4,1,64,4,0.140704,4.834205350638
2,3,8,64,2,0.140799,4.805332263053001
2,3,1,64,8,0.140714,4.9597837883
2,6,2,128,4,0.140571,4.8746778693340005
2,3,1,128,4,0.140661,4.876975842616
3,3,1,64,4,0.140565,4.830453709487999
1,3,1,64,4,0.141727,4.8130323583440004
1,7,1,512,8,0.141367,5.014279361846
2,3,1,64,2,0.140856,4.807262403892
3,8,2,256,8,0.140326,4.9833577434239995
1,6,1,512,8,0.141373,5.01450020121
6,6,2,256,2,0.140322,4.873494625617
1,7,1,512,16,0.141391,5.267943363590001
1,7,1,256,8,0.14156,4.968723498174
2,7,1,512,8,0.140345,5.034964991498
6,7,5,512,16,0.14015,5.279479588268
1,8,1,512,8,0.141367,5.014437224832
6,3,3,64,2,0.14064,4.7995592588610005
1,7,2,512,8,0.141302,5.012536625231999
1,7,1,512,4,0.14138,4.931785137788999
6,7,5,128,4,0.140425,4.868949160908
6,5,8,64,2,0.140646,4.799586350034001
6,1,7,64,8,0.140669,4.9632277471399995
6,5,8,128,2,0.140443,4.8314487154479995
6,5,7,64,2,0.140642,4.799547415828001
5,5,8,64,2,0.140644,4.799641957347
1,4,2,256,8,0.141489,4.9666605702519995
6,4,8,64,2,0.140646,4.7996009372940005
2,2,8,128,2,0.140595,4.838119745966
6,4,2,512,2,0.140144,4.943314481508
6,5,8,64,4,0.140502,4.82659839207
6,6,8,64,2,0.140646,4.799586350034001
2,1,2,64,2,0.140967,4.818241356566
6,6,7,64,2,0.140642,4.799547415828001
1,8,7,256,8,0.141482,4.966578299346
5,5,2,512,4,0.140141,4.944598592389
2,1,3,128,8,0.140729,4.9761845765279995
2,4,8,256,8,0.140477,4.987357061888
6,6,8,64,4,0.140502,4.82659839207
5,6,8,64,2,0.140644,4.799641957347
6,6,8,128,2,0.140443,4.8314487154479995
4,5,3,64,16,0.140491,5.200149666663
6,7,8,64,2,0.140646,4.799586350034001
6,2,6,64,8,0.140505,4.952747775885
6,1,3,512,2,0.140311,4.9548435200459995
6,2,5,64,8,0.140503,4.95274246902
6,2,6,64,4,0.140501,4.827373369624
1,8,6,256,16,0.14149,5.216602926281
6,1,6,64,8,0.140679,4.963315509235
6,3,6,64,8,0.140504,4.9519079197
3,3,8,512,2,0.140139,4.944987871393
6,2,6,64,16,0.140495,5.200420585882
6,7,1,512,16,0.140226,5.28234164976
5,2,6,64,8,0.140508,4.952813792325
6,2,6,128,8,0.140435,4.959184679172
6,2,7,64,8,0.140505,4.952747775885
6,1,6,128,8,0.140601,4.969607693562
3,5,3,64,16,0.1405,5.201720492864
6,2,5,128,8,0.140435,4.959184679172
6,2,6,128,4,0.140435,4.869823344715999
5,2,4,64,4,0.140496,4.827415051656
4,2,1,256,16,0.140404,5.234246182094
6,2,7,128,8,0.140435,4.959184679172
5,2,6,128,8,0.140435,4.959290987994001
6,2,6,256,8,0.140331,4.982322614126001
6,3,6,128,8,0.140428,4.958310796889999
6,2,6,128,16,0.140435,5.2197869313259995
6,2,7,256,8,0.140331,4.982322614126001
6,2,8,128,8,0.140432,4.959152902782
6,2,7,128,16,0.140435,5.2197869313259995
6,8,7,256,4,0.140317,4.8709772892959995
2,7,5,64,4,0.140651,4.832336332575999
6,1,7,128,8,0.140601,4.969607693562
5,2,7,128,8,0.140435,4.959290987994001
6,3,7,128,8,0.140428,4.958310796889999
6,2,7,128,4,0.140435,4.869823344715999
2,5,6,256,8,0.14048,4.987393750304
6,1,7,128,16,0.140602,5.2288523276920005
6,2,7,64,16,0.140495,5.200420585882
5,2,7,128,16,0.140424,5.2196737186440005
6,3,7,128,16,0.140431,5.218784712440001
6,2,8,128,16,0.140434,5.219594921392001
1,5,6,128,4,0.141564,4.853486112744
4,6,5,512,2,0.140146,4.9438340289800005
6,2,7,256,16,0.140337,5.231529731649
1,8,8,256,8,0.141482,4.966578299346
1,8,2,512,16,0.141327,5.265942488208
6,1,8,128,16,0.140602,5.2288523276920005
2,3,2,128,16,0.140589,5.2249452283740005
6,1,8,128,2,0.1406,4.843177409772
4,7,5,128,2,0.140451,4.832084876014
1,6,4,256,4,0.141487,4.855943197349999
5,2,8,128,16,0.140432,5.219679420866
6,2,8,256,16,0.140337,5.231529731649
6,3,8,128,16,0.140431,5.218784712440001
6,2,8,64,16,0.140495,5.200420585882
4,4,6,64,2,0.14065,4.800165461871
